Date,Open,High,Low,Close,Volume
09/27/2023,"81.25","81.46","80.25","81.08","1,686,993"
09/26/2023,"81.00","82.15","80.93","81.26","1,430,851"
09/25/2023,"80.63","81.35","80.43","81.15","1,357,984"
09/22/2023,"80.29","81.65","80.26","80.96","1,559,859"
09/21/2023,"81.00","81.53","80.26","80.29","1,675,424"
09/20/2023,"81.58","82.18","81.00","81.32","2,107,271"
09/19/2023,"80.65","81.36","80.27","81.20","1,572,553"
09/18/2023,"79.19","80.84","79.07","80.57","1,213,994"
09/15/2023,"79.02","79.37","78.60","79.00","1,963,957"
09/14/2023,"78.88","79.34","78.46","79.06","1,222,103"
09/13/2023,"78.82","79.37","78.08","78.33","952,429"
09/12/2023,"78.92","80.27","78.54","78.80","1,167,228"
09/11/2023,"77.53","78.82","77.53","78.80","1,388,055"
09/08/2023,"77.80","77.84","76.63","77.26","1,330,114"
09/07/2023,"76.33","78.11","76.33","77.87","2,216,793"
09/06/2023,"75.98","77.05","75.70","76.44","922,844"
09/05/2023,"76.85","77.05","75.68","75.86","1,285,206"
09/01/2023,"77.42","77.73","76.93","77.01","880,234"
08/31/2023,"77.17","77.34","76.46","76.86","2,148,521"
08/30/2023,"75.97","77.46","75.88","77.09","1,779,930"
08/29/2023,"74.27","76.04","74.00","75.75","2,394,956"
08/28/2023,"74.37","75.44","73.89","74.19","1,740,338"
08/25/2023,"75.47","75.61","74.49","74.62","1,262,418"
08/24/2023,"74.97","76.25","74.91","75.41","1,189,784"
08/23/2023,"74.52","75.76","74.52","75.40","1,316,002"
08/22/2023,"74.72","75.00","74.30","74.57","854,592"
08/21/2023,"75.65","75.70","73.74","74.95","1,212,474"
